,x,y
0,190387.87241743814,553267.9014183653
2,190385.99362106828,553265.5864678951
4,190384.11482656145,553263.271519418
6,190382.23602823622,553260.9565708892
7,190381.77322549067,553260.3863303754
8,190380.3572318932,553258.6416186333
9,190382.04909023872,553255.9666777225
10,190380.16262602663,553253.6423049716
11,190378.27616943352,553251.317932421
13,190376.3897052087,553248.9935597436
15,190374.57206612627,553246.7539813457
16,190371.288976435,553247.4614508497
17,190370.32169174094,553246.2628528686
18,190368.44265582637,553243.9340804857
20,190366.56362316996,553241.6053114227
21,190366.20978240832,553241.1667805103
22,190364.3267617592,553238.8476171619
24,190362.4471228658,553236.5321148782
25,190360.56748362046,553234.2166121575
26,190358.03616140888,553236.0301666275
27,190356.43210658073,553234.0783116659
28,190356.14249720954,553233.7259079368
29,190354.96641550388,553232.3125657508
30,190353.23901018497,553230.2712456818
31,190351.51160485952,553228.2299256278
33,190349.78419952988,553226.1886056197
34,190348.05679419372,553224.1472856344
36,190344.66366266913,553220.8937438871
38,190341.12151021155,553218.6321869858
40,190337.25111287122,553217.0256274528
41,190335.2571418084,553216.4684030439
42,190333.07636948948,553216.3820981089
43,190328.53866140216,553217.6426382033
44,190326.18172563112,553218.9894832065
46,190323.91699734644,553220.6652985888
48,190321.65226907405,553222.3411139369
49,190319.46085581015,553223.9423180029
50,190319.38754080952,553224.0169292496
51,190317.12281255284,553225.692744534
53,190314.73412946644,553227.4867428079
55,190312.34408030356,553229.2765463839
56,190310.06537339772,553226.725183855
57,190308.17193508547,553228.1350397082
58,190305.77646636424,553229.9140217187
60,190303.38144244405,553231.6925679415
61,190300.98644035013,553233.4710947033
62,190299.28051440432,553234.0387161523
63,190297.96854661594,553235.7121720936
64,190296.1964304961,553237.0281463296
65,190293.80141730406,553238.8066729002
66,190291.40642024265,553240.5851888928
67,190289.01141143238,553242.3637198618
68,190286.92634892015,553243.91134677
69,190284.51601397648,553245.699789913
70,190282.10568293356,553247.4882292701
71,190279.69535183933,553249.2766714586
72,190277.2850187904,553251.0651164192
73,190273.62842243386,553253.7778176111
74,190271.21764407578,553255.5656769262
75,190268.83862332162,553261.5570316925
76,190265.06928152122,553264.3555640071
77,190262.6759054918,553266.1331593143
78,190257.88915452422,553269.6883450758
79,190255.49577951347,553271.4659388671
80,190250.70902859428,553275.0211253543
81,190246.42835971364,553278.2004356011
82,190241.60656557968,553281.7678098875
83,190236.78477195828,553285.3351816863
84,190231.84445242406,553288.9937523876
85,190227.03454423556,553292.5593464583
86,190222.22464097512,553296.1249347372
87,190216.75096674328,553300.1821663909
88,190211.96001063622,553303.7328938685
89,190207.16905281888,553307.2836135364
90,190199.9826198196,553312.6097014111
91,190194.14747293023,553316.9325871428
92,190188.12021162332,553321.396704542
93,190180.8798986952,553326.7527025584
94,190174.8457733579,553331.2075159482
95,190167.0202518007,553336.9823407424
96,190159.78135679,553342.3228261524
97,190152.5474479144,553347.6652993547
98,190144.20055955657,553353.8375098972
99,190136.00345297,553359.9314890357
