,x,y
0,190836.84984233,552832.784676306
1,190836.84984233,552832.784676306
2,190838.165307399,552836.203889646
3,190834.449945565,552834.549892089
4,190834.449945565,552834.549892089
5,190835.753329436,552837.979628538
6,190832.050046868,552836.315109231
7,190832.050046868,552836.315109231
8,190833.359596442,552839.748934138
9,190832.0581936,552840.716721772
10,190829.649136957,552838.080427844
11,190830.7567906,552841.684509358
12,190830.7567906,552841.684509358
13,190828.634924192,552843.25647777
14,190828.634924192,552843.25647777
15,190826.232928921,552845.035790665
16,190826.232928921,552845.035790665
17,190826.232928921,552845.035790665
18,190823.823828391,552846.817042601
19,190823.823828391,552846.817042601
20,190822.355404356,552847.90179895
21,190822.355404356,552847.90179895
22,190819.951973041,552849.68145139
23,190819.951973041,552849.68145139
24,190818.734852722,552850.578202396
25,190818.734852722,552850.578202396
26,190817.517732416,552851.474953389
27,190817.517732416,552851.474953389
28,190815.100982632,552853.235589754
29,190814.624997755,552853.582351242
30,190812.684232875,552854.996225369
31,190812.684232875,552854.996225369
32,190810.702321014,552856.45090801
33,190810.702321014,552856.45090801
34,190810.70232097,552856.450908101
35,190808.400298355,552858.06999481
36,190808.400298355,552858.06999481
37,190806.098275755,552859.689081484
38,190806.098275755,552859.689081484
39,190803.796253166,552861.308168121
40,190803.796253166,552861.308168121
41,190801.494230588,552862.927254736
42,190801.494230588,552862.927254736
43,190801.494230588,552862.927254736
44,190799.192208022,552864.546341317
45,190799.192208022,552864.546341317
46,190796.890185462,552866.165427864
47,190796.890185462,552866.165427864
48,190794.588162916,552867.784514375
49,190794.588162916,552867.784514375
50,190794.588162916,552867.784514375
51,190792.286140382,552869.40360085
52,190792.286140382,552869.40360085
53,190789.984117859,552871.022687304
54,190789.984117859,552871.022687304
55,190787.682095345,552872.641773723
56,190787.682095345,552872.641773723
57,190785.380072964,552874.260859977
58,190785.380072845,552874.260860093
59,190782.998660233,552875.979145248
60,190782.998660233,552875.979145248
61,190782.998660233,552875.979145248
62,190780.578408657,552877.725377376
63,190780.578408657,552877.725377376
64,190778.900102022,552878.932008948
65,190777.221795392,552880.138640506
66,190777.221795392,552880.138640506
67,190775.543488769,552881.345272044
68,190775.543488769,552881.345272044
69,190774.340818734,552882.242196431
70,190773.138147837,552883.139120288
71,190771.935476938,552884.036044123
72,190770.732806045,552884.932967951
73,190769.530135174,552885.829890826
74,190769.530135174,552885.829890826
75,190768.327464305,552886.726813681
76,190767.124792463,552887.623737465
77,190765.922120624,552888.52066124
78,190764.719449756,552889.417584539
79,190763.516778881,552890.314507834
80,190763.516778881,552890.314507834
81,190762.314107983,552891.211431605
82,190761.111437097,552892.108355359
83,190759.908766225,552893.005278637
84,190758.706095354,552893.902201893
85,190758.706095354,552893.902201893
86,190757.503424488,552894.799125622
87,190756.300753623,552895.696049336
88,190755.098082763,552896.592973038
89,190753.895411904,552897.489896744
90,190753.895411904,552897.489896744
91,190752.692740118,552898.386819459
92,190751.490068328,552899.283742159
93,190750.28739748,552900.180665833
94,190750.28739748,552900.180665833
95,190749.084726633,552901.077589493
96,190747.882055784,552901.974513146
97,190746.679384942,552902.8714368
98,190746.679384942,552902.8714368
99,190745.476713169,552903.768359447
100,190744.2740414,552904.66528209
101,190743.071371518,552905.562205722
102,190743.071371518,552905.562205722
103,190741.868701634,552906.459129351
104,190740.666029872,552907.356051971
105,190740.666029872,552907.356051971
106,190736.960770209,552905.745330556
107,190738.260688223,552909.149899141
108,190738.260688223,552909.149899141
109,190734.6006629,552907.584202098
110,190733.551623233,552908.402273483
111,190733.551623233,552908.402273483
112,190732.363071638,552909.317566792
113,190731.174520044,552910.2328601
114,190731.174520044,552910.2328601
115,190729.985967982,552911.148153385
116,190729.985967982,552911.148153385
117,190728.797415917,552912.06344668
118,190727.608864331,552912.978739946
119,190727.608864331,552912.978739946
120,190726.420312754,552913.894033224
121,190725.231761151,552914.809327435
122,190725.231761151,552914.809327435
123,190724.043209555,552915.724621627
124,190724.043209555,552915.724621627
125,190722.854657978,552916.639914874
126,190721.666106403,552917.555208103
127,190721.666106403,552917.555208103
128,190721.001966555,552918.066653766
129,190721.001966555,552918.066653766
130,190718.760664475,552919.774036011
131,190718.760664475,552919.774036011
132,190718.760664475,552919.774036011
133,190716.519362372,552921.481419157
134,190716.519362372,552921.481419157
135,190716.519362372,552921.481419157
136,190714.278060282,552923.188802286
137,190714.278060282,552923.188802286
138,190714.278060282,552923.188802286
139,190712.036758198,552924.896185353
140,190712.036758198,552924.896185353
141,190712.036758198,552924.896185353
142,190709.795456121,552926.603568401
143,190709.795456121,552926.603568401
144,190709.795456121,552926.603568401
145,190707.554154057,552928.310951432
146,190707.554154057,552928.310951432
147,190707.554154057,552928.310951432
148,190705.312851997,552930.018334401
149,190705.312851997,552930.018334401
150,190705.312851997,552930.018334401
151,190703.071549951,552931.72571735
152,190703.071549951,552931.72571735
153,190700.830247908,552933.433100275
154,190700.830247908,552933.433100275
155,190700.830247908,552933.433100275
156,190698.588945872,552935.140483154
157,190698.588945872,552935.140483154
158,190696.347643852,552936.847865999
159,190696.347643852,552936.847865999
160,190696.347643852,552936.847865999
161,190694.106341836,552938.555248819
162,190694.106341836,552938.555248819
163,190691.86503983,552940.26263159
164,190691.86503983,552940.26263159
165,190689.670767158,552941.915596728
166,190689.670767158,552941.915596728
167,190688.869190973,552942.519429843
168,190686.458655691,552944.291196173
169,190686.458655691,552944.291196173
170,190684.048120412,552946.062962474
171,190684.048120412,552946.062962474
172,190683.038896855,552946.804485817
173,190681.821808052,552947.713738839
174,190679.915146677,552949.138241521
175,190679.915146677,552949.138241521
176,190677.507613198,552950.917774647
177,190677.507613198,552950.917774647
178,190675.100078738,552952.697309639
179,190675.100078738,552952.697309639
180,190672.692545302,552954.476841762
181,190670.28501186,552956.256374795
182,190670.28501186,552956.256374795
183,190667.877476973,552958.035908717
184,190667.877476973,552958.035908717
185,190665.469944269,552959.81544143
186,190665.469944269,552959.81544143
187,190663.062411931,552961.594974123
188,190663.062411931,552961.594974123
189,190660.654875398,552963.374508401
190,190658.247342376,552965.154040751
191,190658.247342376,552965.154040751
192,190656.359065604,552966.52625634
193,190655.011983725,552967.492607597
194,190652.583615518,552969.234637637
195,190652.583615518,552969.234637637
196,190650.155249711,552970.976667682
197,190650.155249711,552970.976667682
198,190647.726882013,552972.718697184
199,190645.298516234,552974.46072669
200,190645.298516234,552974.46072669
201,190642.87015051,552976.202754255
202,190641.893308699,552976.906821585
203,190639.493331778,552978.695478348
204,190641.481343112,552981.730572902
205,190639.057274738,552983.462955503
206,190636.633206356,552985.195338074
207,190634.209138007,552986.927720602
208,190634.209138007,552986.927720602
209,190631.785069661,552988.66010311
210,190629.361001338,552990.392485566
211,190629.361001338,552990.392485566
212,190626.936933027,552992.124867996
213,190624.512864724,552993.85725038
214,190624.512864724,552993.85725038
215,190622.088796454,552995.589631764
216,190622.088796454,552995.589631764
217,190619.695716553,552997.367274316
218,190617.30706258,552999.157432907
219,190617.067252887,552999.34293753
220,190615.04006288,553000.889313035
221,190612.125717486,552999.165877712
222,190612.366427236,553002.888819649
223,190609.94585576,553004.694886259
